nm9423081&Willie Aames&1960
nm9423082&Bud Abbott&1895
nm9423083&Diahnne Abbott&
nm9423084&George Abbott&1887
nm9423085&John Abbott&1905
nm9423086&Philip Abbott&1923
nm9423087&Kareem AbdulJabbar&
nm9423088&Walter Abel&1898
nm9423089&F.Murray Abraham&
nm9423090&James Abrahams&
nm9423091&Maury Abram&
nm9423092&Victoria Abril&
nm9423093&Joss Ackland&1928
nm9423094&Dan Ackroyd&
nm9423095&David Ackroyd&1940
nm9423096&Peter Ackroyd&
nm9423097&Rodolfo Acosta&1920
nm9423098&Eddie Acuff&1902
nm9423099&Jean Adair&1872
nm9423100&Alfred Adam&1909
nm9423101&Ronald Adam&1896
nm9423102&John Adames&
nm9423103&Beverly Adams&1945
nm9423104&Catlin Adams&1950
nm9423105&Dorothy Adams&1915
nm9423106&Edie Adams&1929
nm9423107&Jane Adams&1921
nm9423108&Jill Adams&1931
nm9423109&Julie Adams&1926
nm9423110&Maud Adams&1950
nm9423111&Nick Adams&1931
nm9423112&Robert Adams&1906
nm9423113&Sam Adams&
nm9423114&Tome Adams&1938
nm9423115&Dawn Addams&1930
nm9423116&Wesley Addy&1912
nm9423117&Isabelle Adjani&1955
nm9423118&Jay Adler&1899
nm9423119&Luther Adler&1903
nm9423120&Renee Adoree&1898
nm9423121&Max Adrian&1902
nm9423122&Ben Affleck&
nm9423123&Casey Affleck&
nm9423124&John Agar&1921
nm9423125&Jenny Agutter&1952
nm9423126&Brian Aherne&1902
nm9423127&Philip Ahn&1911
nm9423128&Richard Ainley&1910
nm9423129&Maria Aitkins&
nm9423130&Franklyn Ajaye&1949
nm9423131&Muriel Aked&1887
nm9423132&Claude Akins&1918
nm9423133&Serap Aksoy&
nm9423134&Josh Albee&
nm9423135&Anna Maria Alberghetti&1936
nm9423136&Han Albers&1892
nm9423137&Eddie Albert&1908
nm9423138&Edward Albert~jr.&
nm9423139&William Albert&
nm9423140&Frank Albertson&1907
nm9423141&Jack Albertson&1907
nm9423142&Mabel Albertson&1901
nm9423143&Hardie Albright&1903
nm9423144&Lola Albright&1925
nm9423145&Robert Alda&1914
nm9423146&Rutanya Alda&
nm9423147&Vera Alentova&
nm9423148&Ben Alexander&1911
nm9423149&Jane Alexander&1939
nm9423150&John Alexander&1901
nm9423151&Katherine Alexander&1901
nm9423152&Ross Alexander&1907
nm9423153&Sandy Alexander&
nm9423154&Terence Alexander&1923
nm9423155&Hope AlexanderWells&
nm9423156&Muhammed Ali&1942
nm9423157&Dorothy Alison&1925
nm9423158&Andrea Allan&
nm9423159&Elizabeth Allan&1908
nm9423160&William Alland&1916
nm9423161&Chesney Allen&1894
nm9423162&Catherine Allegret&
nm9423163&Elizabeth Allen&1934
nm9423164&Fred Allen&1894
nm9423165&Gracie Allen&1902
nm9423166&Karen Allen&1955
nm9423167&Nancy Allen&1954
nm9423168&Patrick Allen&1927
nm9423169&Rae Allen&
nm9423170&Steve Allen&1921
nm9423171&Joseph Allen~jr.&
nm9423172&Kirstie Alley&
nm9423173&Sara Allgood&1883
nm9423174&Claud Allister&1891
nm9423175&Astrid Allwyn&1909
nm9423176&June Allyson&1917
nm9423177&Pedro Almodovar&
nm9423178&Maria Conchita Alonso&
nm9423179&Corinne Alphen&
nm9423180&Kirk Alyn&1910
nm9423181&Betty Amann&
nm9423182&Leonora Amar&
nm9423183&Don Ameche&1908
nm9423184&Lucio Amelio&
nm9423185&Leon Ames&1903
nm9423186&Ramsay Ames&1919
nm9423187&Suzy Amis&1962
nm9423188&John Amos&
nm9423189&John Amplas&
nm9423190&Dev Anand&
nm9423191&Glenn Anders&1889
nm9423192&Luana Anders&1949
nm9423193&Merry Anders&1932
nm9423194&Bridgette Andersen&
nm9423195&Bibi Anderson&
