nm9429631&Diahnne Abbott&
nm9429632&Kareem AbdulJabbar&
nm9429633&F.Murray Abraham&
nm9429634&James Abrahams&
nm9429635&Maury Abram&
nm9429636&Victoria Abril&
nm9429637&Dan Ackroyd&
nm9429638&Peter Ackroyd&
nm9429639&John Adames&
nm9429640&Sam Adams&
nm9429641&Ben Affleck&
nm9429642&Casey Affleck&
nm9429643&Maria Aitkins&
nm9429644&Serap Aksoy&
nm9429645&Josh Albee&
nm9429646&Edward Albert~jr.&
nm9429647&William Albert&
nm9429648&Rutanya Alda&
nm9429649&Vera Alentova&
nm9429650&Sandy Alexander&
nm9429651&Hope AlexanderWells&
nm9429652&Andrea Allan&
nm9429653&Catherine Allegret&
nm9429654&Rae Allen&
nm9429655&Joseph Allen~jr.&
nm9429656&Kirstie Alley&
nm9429657&Pedro Almodovar&
nm9429658&Maria Conchita Alonso&
nm9429659&Corinne Alphen&
nm9429660&Betty Amann&
nm9429661&Leonora Amar&
nm9429662&Lucio Amelio&
nm9429663&John Amos&
nm9429664&John Amplas&
nm9429665&Dev Anand&
nm9429666&Bridgette Andersen&
nm9429667&Bibi Anderson&
nm9429668&E. Erich Anderson&
nm9429669&Harriet Anderson&
nm9429670&Ingrid Anderson&
nm9429671&Melissa Sue Anderson&
nm9429672&Carole Andre&
nm9429673&Gabe Andre&
nm9429674&Fr\'ed\'ric Andrei&
nm9429675&Brian Andrews&
nm9429676&Eamonn Andrews&
nm9429677&The Andrews Sisters&
nm9429678&The Hells Angels&
nm9429679&Ivy Angustain&
nm9429680&Karen Anspach&
nm9429681&Adam Ant&
nm9429682&Lysette Anthony&
nm9429683&Michael Anthony&
nm9429684&Susan Anton&
nm9429685&Laura Antonelli&
nm9429686&Lou Antonio&
nm9429687&Alfonso Arau&
nm9429688&Allan Arbus&
nm9429689&Anne Archer&
nm9429690&Carmen Argenziano&
nm9429691&Adam Arkin&
nm9429692&David Arkin&
nm9429693&Bess Armstrong&
nm9429694&Curtis Armstrong&
nm9429695&Jeanetta Arnette&
nm9429696&Mark Arnott&
nm9429697&Rosanna Arquette&
nm9429698&Leslie Ash&
nm9429699&Ren\`ee Asherson&1920
nm9429700&Jennifer Ashley&
nm9429701&John Ashley&
nm9429702&Gregoire Asian&
nm9429703&Luke Askew&
nm9429704&Chuck Aspegren&
nm9429705&Armand Assante&
nm9429706&Asta&
nm9429707&Adele Astaire&
nm9429708&Kim Atwood&
nm9429709&Brigitte Auber&
nm9429710&Joss Auckland&
nm9429711&Audrey&
nm9429712&John Austin&
nm9429713&Daniel Auteuil&
nm9429714&Luis Avalos&
nm9429715&Brian Avery&
nm9429716&Margaret Avery&
